Date,Timestamp,Open,High,Low,Close,Volume
20230410,13:30:00,406.566,406.827,405.947,406.737,85.338999535772
20230410,13:45:00,406.757,406.827,405.996,406.197,78.429899572744
20230410,14:00:00,406.187,407.027,406.007,406.847,57.8438996839104
20230410,14:15:00,406.857,407.136,406.307,406.477,43.8899997593835
20230410,14:30:00,406.476,407.377,406.467,407.326,45.3599997516721
20230410,14:45:00,407.317,407.317,406.657,406.696,44.9924997532507
20230410,15:00:00,406.706,407.487,406.696,407.437,46.3499997463077
20230410,15:15:00,407.446,407.567,407.166,407.376,34.4774998103967
20230410,15:30:00,407.387,407.777,407.347,407.716,34.837199808564
20230410,15:45:00,407.717,407.727,406.956,407.006,35.3624998062151
20230410,16:00:00,407.007,407.017,406.276,406.517,39.7379997819662
20230410,16:15:00,406.507,407.007,406.486,406.887,32.2241998224054
20230410,16:30:00,406.896,408.217,406.896,408.106,43.9688997586491
20230410,16:45:00,408.097,408.327,408.046,408.296,40.1114997797413
20230410,17:00:00,408.307,408.757,408.226,408.617,35.8517998035531
20230410,17:15:00,408.617,408.807,408.416,408.677,32.9033998192754
20230410,17:30:00,408.667,408.776,408.177,408.416,32.7761998202186
20230410,17:45:00,408.417,408.867,408.386,408.607,32.6261998212431
20230410,18:00:00,408.626,408.857,408.356,408.776,37.3469997949433
20230410,18:15:00,408.766,409.047,408.666,408.747,33.8753998142201
20230410,18:30:00,408.757,408.937,408.387,408.436,30.046499834978
20230410,18:45:00,408.417,409.117,408.406,409.056,28.8317998412531
20230410,19:00:00,409.066,409.247,408.786,408.826,32.979599819053
20230410,19:15:00,408.827,409.107,408.707,408.717,35.8256998035358
20230410,19:30:00,408.726,409.137,408.636,408.936,38.3408997893566
20230410,19:45:00,408.916,409.677,408.756,409.656,42.2612997685792
20230411,13:30:00,410.246,410.267,409.537,409.757,52.0418999233516
20230411,13:45:00,409.757,410.077,409.406,409.507,77.9582995747915
20230411,14:00:00,409.516,409.907,409.386,409.506,65.5739996419288
20230411,14:15:00,409.506,410.006,409.306,410.006,49.38029973011
20230411,14:30:00,410.006,410.017,409.187,409.227,56.2871996918693
20230411,14:45:00,409.217,409.537,408.917,409.366,57.3152996856952
20230411,15:00:00,409.377,409.746,409.336,409.697,52.3676997135626
20230411,15:15:00,409.707,410.107,409.646,409.826,41.0972997747594
20230411,15:30:00,409.816,409.907,409.467,409.586,37.5236997936154
20230411,15:45:00,409.597,410.097,409.486,410.027,34.9523998079821
20230411,16:00:00,410.037,410.527,409.976,410.306,33.1775998175144
20230411,16:15:00,410.306,410.427,410.006,410.296,31.8947998248041
20230411,16:30:00,410.306,410.426,409.826,410.097,34.4210998112103
20230411,16:45:00,410.087,410.476,410.037,410.407,28.5164998426335
20230411,17:00:00,410.417,410.697,410.127,410.176,32.0684998241486
20230411,17:15:00,410.177,410.506,410.176,410.466,25.2806998611195
20230411,17:30:00,410.477,410.617,410.316,410.537,27.41219984903
20230411,17:45:00,410.546,410.867,410.546,410.807,26.2577998556662
20230411,18:00:00,410.806,410.917,410.616,410.616,25.4978998600272
20230411,18:15:00,410.617,410.937,410.537,410.917,21.636599880876
20230411,18:30:00,410.927,411.107,410.846,410.996,19.5200998928631
20230411,18:45:00,410.996,411.076,410.806,410.927,21.6446998807369
20230411,19:00:00,410.947,410.977,410.596,410.936,27.0698998518055
20230411,19:15:00,410.946,411.147,410.816,410.966,22.323299877462
20230411,19:30:00,410.987,411.047,410.137,410.216,31.4111998281442
20230411,19:45:00,410.207,410.207,409.226,409.697,44.1644997588592
20230412,13:30:00,411.826,412.147,411.047,411.167,98.6342994630104
20230412,13:45:00,411.196,411.297,410.126,410.726,92.0645994974766
20230412,14:00:00,410.717,411.677,410.326,411.456,76.7891995809041
20230412,14:15:00,411.467,411.827,410.886,411.556,70.4843996153213
20230412,14:30:00,411.537,411.737,409.746,409.957,77.8151995749213
20230412,14:45:00,409.947,410.417,409.086,409.167,77.8601995746139
20230412,15:00:00,409.176,409.496,408.216,408.657,77.0286995798815
20230412,15:15:00,408.677,409.596,408.597,409.566,59.0978996771155
20230412,15:30:00,409.576,409.787,409.236,409.776,52.6766997122904
20230412,15:45:00,409.786,410.457,409.706,410.326,51.2333997196984
20230412,16:00:00,410.356,410.697,410.226,410.477,49.6337997287046
20230412,16:15:00,410.467,410.737,410.256,410.506,42.3869997679722
20230412,16:30:00,410.517,410.747,410.236,410.326,45.7052997500869
20230412,16:45:00,410.336,410.947,410.286,410.846,44.1782997580012
20230412,17:00:00,410.866,411.467,410.446,411.386,50.2295997249894
20230412,17:15:00,411.386,411.436,410.857,411.176,40.6316997773247
20230412,17:30:00,411.197,411.457,410.816,410.876,37.3424997952534
20230412,17:45:00,410.866,410.976,410.636,410.866,29.9699998353608
20230412,18:00:00,410.857,411.317,410.337,411.286,77.6666995758424
20230412,18:15:00,411.296,411.456,409.397,409.626,64.6985996465664
20230412,18:30:00,409.607,409.607,408.736,409.257,72.0581996056717
20230412,18:45:00,409.287,409.447,408.536,409.006,57.9167996821925
20230412,19:00:00,409.017,409.406,408.106,408.196,66.3995996369049
20230412,19:15:00,408.186,408.186,407.466,407.567,67.5578996307449
20230412,19:30:00,407.576,408.237,407.466,408.057,67.4081996318419
20230412,19:45:00,408.057,408.477,407.426,408.047,66.3335996381938
20230413,13:30:00,409.236,409.476,408.696,409.197,86.6792995283613
20230413,13:45:00,409.177,409.517,408.726,409.116,89.5841995121446
20230413,14:00:00,409.106,410.317,408.936,410.267,77.1173995800782
